brand,model,fuel,no of owner,yrs,transmission,kms,prices
Audi,Q5,Petrol,3rd,2009.0,Automatic,"62,000","10,00,000"
Audi,A4,Diesel,1st,2016.0,Automatic,"52,000","20,00,000"
Audi,A6,Diesel,1st,2013.0,Automatic,"130,000","14,75,000"
Audi,Q5,Diesel,1st,2014.0,Automatic,"19,000","29,00,000"
Audi,Q3,Diesel,1st,2016.0,Automatic,"43,000","21,00,000"
Audi,A4,Diesel,2nd,2009.0,Automatic,"98,000","9,25,000"
Audi,Q3,Diesel,,2015.0,Manual,"12,861","23,50,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"75,000","10,50,000"
Audi,Q7,Diesel,1st,2012.0,Automatic,"71,000","16,99,000"
Audi,A4,Diesel,2nd,2014.0,Automatic,"154,883","14,00,000"
Audi,A4,Diesel,1st,2011.0,Automatic,"91,000","7,99,000"
Audi,Q7,Diesel,2nd,2018.0,Automatic,"58,000","51,00,000"
Audi,Q5,Petrol,1st,2010.0,Automatic,"67,000","11,00,000"
Audi,Q5,Diesel,1st,2013.0,Automatic,"80,000","15,75,000"
Audi,Q5,Diesel,1st,2017.0,Automatic,"27,000","34,00,000"
Audi,Q3,Petrol,1st,2017.0,Automatic,"41,000","26,50,000"
Audi,Q3,Diesel,1st,2014.0,Automatic,"42,000","21,50,000"
Audi,A4,Diesel,1st,2015.0,Automatic,"95,000","14,50,000"
Audi,A3,Electric,1st,2021.0,Automatic,0,"15,000"
Audi,A6,Petrol,2nd,2020.0,Manual,50,"30,000"
Audi,A4,Petrol,3rd,2010.0,Automatic,"70,000","6,50,000"
Audi,A4,Diesel,2nd,2008.0,Automatic,"119,000","7,99,999"
Audi,A6,Petrol,,2019.0,Automatic,"9,945","57,23,780"
Audi,Q8,Petrol,,2020.0,Automatic,"13,000","1,25,00,000"
Audi,A4,Diesel,1st,2014.0,Manual,"70,000","17,00,000"
Audi,A6,Diesel,1st,2008.0,Automatic,"64,000","6,45,000"
Audi,A6,Petrol,1st,2008.0,Manual,"70,000","6,00,000"
Audi,A4,Diesel,3rd,2010.0,Automatic,"116,000","7,20,000"
Audi,Q5,Diesel,3rd,2013.0,Automatic,"97,000","11,50,000"
Audi,A4,Petrol,3rd,2007.0,Automatic,"68,000","3,33,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"61,150","14,00,000"
Audi,A3,Diesel,1st,2020.0,Manual,200,"1,00,000"
Audi,Q3,Diesel,1st,2013.0,Automatic,"142,000","13,90,000"
Audi,A3,Diesel,1st,2015.0,Automatic,"70,000","15,00,000"
Audi,A4,Diesel,1st,2011.0,Automatic,"40,000","10,99,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"37,500","15,25,000"
Audi,A4,Diesel,2nd,2012.0,Manual,"100,000","10,50,000"
Audi,A4,Diesel,1st,2014.0,Automatic,"31,000","16,05,000"
Audi,Q5,Diesel,3rd,2010.0,Manual,"80,000","8,25,000"
Audi,Q3,Diesel,2nd,2012.0,Automatic,"145,000","15,00,000"
Audi,A6,Diesel,2nd,2016.0,Automatic,"36,000","24,00,000"
Audi,TT,Petrol,1st,2007.0,Manual,"55,000","17,00,000"
Audi,A6,Diesel,3rd,2012.0,Automatic,"72,000","12,00,000"
Audi,A4,Diesel,3rd,2010.0,Automatic,"100,000","8,50,000"
Audi,Q7,Diesel,3rd,2008.0,Automatic,"103,000","9,00,000"
Audi,Q8,Petrol,,2020.0,Automatic,"1,200","1,25,00,000"
Audi,A3,Diesel,1st,2015.0,Automatic,"110,000","16,00,000"
Audi,A4,Diesel,2nd,2011.0,Automatic,"92,000","12,00,000"
Audi,Q3,Diesel,2nd,2013.0,Automatic,"83,000","13,25,000"
Audi,A4,Diesel,2nd,2012.0,Automatic,"83,000","11,00,000"
Audi,A6,Diesel,1st,2018.0,Automatic,"5,000","15,000"
Audi,A4,Diesel,1st,2012.0,Automatic,"73,000","10,20,000"
Audi,A6,Diesel,2nd,2013.0,Automatic,"49,000","18,00,000"
Audi,Q3,Diesel,1st,2018.0,Automatic,"16,440","33,50,000"
Audi,A4,Diesel,2nd,2013.0,Automatic,"37,000","16,00,000"
Audi,A4,Diesel,1st,2013.0,Automatic,"43,000","13,25,000"
